,Chatting,link_count,word_count,sentence_length,has_numeric,has_emoticon,language_detection,language_py3_detection,py3_confidence,stopword_count,repeated_chars_count,sentiment_score,pos_tag_counts,flesch_reading_ease,gunning_fog_index
184,Nai,0,1,3,False,False,vi,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
185,Fer,0,1,3,False,False,de,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
186,Mein O waaan jinnei dean te gussa kaddia,0,8,40,False,False,af,af,-128.32895,1,5,0,"{'NNP': 2, 'VBD': 1, 'JJ': 2, 'NN': 3}",80.28,3.2
187,Aesi wja tu??,0,3,13,False,False,id,pl,0.63148403,0,1,0,"{'NNP': 1, 'NN': 2, '.': 2}",93.81,1.2
188,Nai,0,1,3,False,False,vi,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
189,Mein class chei betha kehenda lab mein jao,0,8,42,False,False,de,de,-134.00734,0,1,0,"{'NNP': 1, 'NN': 7}",88.74,8.2
190,Mein wo sunaoyan onei wi fr onei meri tasveer bna li,0,11,52,False,False,en,en,-153.70973,0,1,0,"{'NNP': 1, 'MD': 1, 'VB': 1, 'JJ': 1, 'NN': 7}",102.61,4.4
191,Te chal gya,0,3,11,False,False,cy,en,2.1633797,0,0,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
192,Dsia c tu,0,3,9,False,False,ca,en,-10.161587,0,0,0,"{'NNP': 1, 'VBZ': 1, 'NN': 1}",119.19,1.2
193,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
194,Hun maza onda,0,3,13,False,False,es,es,-13.060723,0,0,0,"{'NNP': 1, 'NN': 2}",93.81,1.2
195,Je O kad dinda ,0,4,15,False,False,id,ms,-37.721306,1,0,0,"{'NNP': 2, 'VBD': 1, 'NN': 1}",92.8,1.6
196,Fer tu Ksi hor uni ch ja ria honda,0,9,34,False,False,id,en,-37.636356,0,0,0,"{'NNP': 2, 'NN': 6, 'JJ': 1}",104.64,3.6
197,N,0,1,1,False,False,vi,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
198,Aaho,0,1,4,False,False,so,en,9.06184,0,0,0,{'NNP': 1},36.62,0.4
199,Agei parhai nai kr sakda si fr,0,7,30,False,False,id,cy,-26.358667,0,0,0,"{'NNP': 1, 'NN': 6}",106.67,2.8
200,"Koi naaaa
Ithe canteen da bht scope aa uni ch",0,10,45,False,False,nl,nl,-108.202576,0,5,0,"{'NNP': 2, 'CC': 1, 'JJ': 2, 'NN': 4, 'IN': 1}",103.63,4
201,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
202,Ona ne wi nai rakhna si,0,6,23,False,False,sw,xh,-17.73375,0,0,0,"{'NNP': 1, 'CC': 1, 'JJ': 2, 'NN': 2}",116.15,2.4
203,"Nhi oo te rkh hi Len ge 
Khushi Khushi km tnkhwa te",0,12,51,False,False,sw,zu,-111.35038,0,1,0,"{'NNP': 4, 'MD': 1, 'VB': 1, 'NN': 4, 'VBD': 1, 'JJ': 1}",110.06,4.8
204,Ona ne sehat dekh ke ba kr deni si,0,9,34,False,False,id,ms,-103.180595,0,0,0,"{'NNP': 1, 'MD': 1, 'VB': 1, 'JJ': 1, 'NN': 5}",104.64,3.6
205,Naaa aethe bht scope aa tu dukan la lae uni de agge,0,12,51,False,False,it,eo,-151.67213,0,4,0,"{'NNP': 1, 'NN': 5, 'IN': 1, 'JJ': 3, 'FW': 2}",110.06,4.8
206,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
207,Sorry pul gia si,0,4,16,False,False,ro,en,3.4977899,0,1,-0.0772,"{'NNP': 1, 'NN': 3}",92.8,1.6
208,Lg ria c pta,0,4,12,False,False,ca,ro,-8.319463,0,0,0,"{'NNP': 1, 'NN': 3}",118.18,1.6
209,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
210,Chal sai aaa,0,3,12,False,False,id,et,-16.268772,0,2,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
211,Okkkkkkkkk,0,1,10,False,False,fi,en,9.06184,0,8,0,{'NN': 1},121.22,0.4
212,"Assalam o alaikum
Ki Haal aa",0,6,28,False,False,et,tl,-49.972317,1,3,0,"{'NNP': 3, 'MD': 1, 'VB': 1, 'NN': 1}",99.23,2.4
213,Ws,0,1,2,False,False,pl,pl,-0.12797594,0,0,0,{'NN': 1},121.22,0.4
214,Alhamdulillah,0,1,13,False,False,so,mt,-32.26457,0,1,0,{'NN': 1},-132.59,40.4
215,Tu suna,0,2,7,False,False,id,it,-6.401533,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
216,Alhmdullilah,0,1,12,False,False,tr,et,-17.154526,0,1,0,{'NN': 1},-47.99,40.4
217,Ki hua,0,2,6,False,False,sw,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
218,Ki?,0,1,3,False,False,sw,en,9.06184,0,0,0,"{'NNP': 1, '.': 1}",121.22,0.4
219,Kheir si,0,2,8,False,False,de,en,-31.741447,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
220,Han taane milde bd cho aes lae,0,7,30,False,False,nl,af,-100.31753,0,1,0,"{'NNP': 1, 'NN': 6}",115.13,2.8
221,Keis cheez dei,0,3,14,False,False,de,br,-65.30958,0,1,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
222,Wese hi,0,2,7,False,False,af,en,9.06184,0,0,0,"{'JJ': 1, 'NN': 1}",120.21,0.8
223,Hor ki ho ria aj kl,0,6,19,False,False,sk,sk,-8.80968,0,0,0,"{'NNP': 1, 'VBD': 1, 'JJ': 1, 'NN': 3}",116.15,2.4
224,Bs rest jia hi aik game bnaa rian aaaj kal,0,10,42,False,False,et,sw,-63.036366,0,3,0,"{'NNP': 1, 'NN': 7, 'JJ': 2}",103.63,4
225,Saturday shaam nu aaa ya si,0,6,27,False,False,so,sw,-35.571987,0,3,0,"{'NNP': 1, 'VBD': 1, 'JJ': 2, 'NN': 2}",90.77,2.4
226,Chitistian tu,0,2,13,False,False,en,fi,0.30673504,0,0,0,"{'JJ': 1, 'NN': 1}",35.61,20.8
227,Tu suna ghar aaa gain?,0,5,22,False,False,id,qu,-49.30797,0,2,0.5267,"{'NNP': 1, 'NN': 4, '.': 1}",117.16,2
228,Yess,0,1,4,False,False,fi,en,9.06184,0,1,0,{'NN': 1},121.22,0.4
229,Shaam nu free,0,3,13,False,False,so,et,-10.589346,0,2,0.5106,"{'NNP': 1, 'MD': 1, 'VB': 1}",119.19,1.2
230,Ki??,0,1,4,False,False,sw,en,9.06184,0,1,0,"{'NNP': 1, '.': 2}",121.22,0.4
231,Yaaani raaat free huni ya masroof,0,6,33,False,False,so,id,-41.752373,0,6,0.5106,"{'NNP': 1, 'VBD': 1, 'JJ': 1, 'NN': 3}",90.77,2.4
232,"Free huni 11 wje Soo jani aa
Ghr aa k mbl km use krdi aa",0,15,56,True,False,so,et,-69.17428,0,6,0.5106,"{'JJ': 1, 'NN': 10, 'CD': 1, 'NNP': 3}",98.55,6
233,Acha chal fr sai,0,4,16,False,False,en,sw,-37.284756,0,0,0,"{'NNP': 1, 'NN': 3}",118.18,1.6
234,Yes,0,1,3,False,False,tr,en,9.06184,0,0,0.4019,{'UH': 1},121.22,0.4
235,Shukria yaaad karn lai,0,4,22,False,False,so,id,-45.080704,0,2,0,"{'NNP': 1, 'PRP': 1, 'VBP': 1, 'JJ': 1}",118.18,1.6
236,Raaat time horror movie dekh lai aaa,0,7,36,False,False,nl,nl,-76.34289,0,5,-0.5719,"{'JJ': 1, 'NN': 6}",106.67,2.8
237,Kehri??,0,1,7,False,False,de,de,-5.490609,0,1,0,"{'NNP': 1, '.': 2}",121.22,0.4
238,Bhool bhulaiya 2,0,3,16,True,False,so,ms,-8.206767,0,1,0,"{'NNP': 1, 'VBD': 1, 'CD': 1}",93.81,1.2
239,Zyada horror aa??,0,3,17,False,False,so,et,-16.21378,0,3,-0.6199,"{'NNP': 1, 'NN': 2, '.': 2}",59.97,1.2
240,Nak funny te horror aaa,0,5,23,False,False,nl,nl,-32.412544,0,4,-0.2023,"{'NNP': 1, 'JJ': 1, 'NN': 3}",83.32,2
241,Yaaani acahank aa agia scene,0,5,28,False,False,so,nl,-26.02657,0,3,0,"{'NNP': 1, 'VBD': 1, 'JJ': 2, 'NN': 1}",83.32,10
242,Fer te kher aa,0,4,14,False,False,af,nl,-22.731056,0,1,0,"{'NNP': 1, 'VBZ': 1, 'JJR': 1, 'NN': 1}",118.18,1.6
243,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
244,iddan di game kheldin,0,4,21,False,False,so,id,-38.516174,0,1,0,"{'NN': 3, 'JJ': 1}",92.8,1.6
245,Mzeed di aaa,0,3,12,False,False,so,it,-20.124376,0,3,0,"{'NNP': 1, 'VBZ': 1, 'NN': 1}",119.19,1.2
246,Pejan,0,1,5,False,False,id,es,0.028903961,0,0,0,{'NN': 1},36.62,0.4
247,Mein bnai,0,2,9,False,False,de,de,-2.9670296,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
248,Yess,0,1,4,False,False,fi,en,9.06184,0,1,0,{'NN': 1},121.22,0.4
249,Nai halei,0,2,9,False,False,fi,et,-24.73693,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
250,"Taalian
Achi aaa",0,3,16,False,False,so,et,-24.321674,0,3,0,"{'JJ': 1, 'NNP': 1, 'NN': 1}",119.19,1.2
251,Play store tu karin,0,4,19,False,False,tl,en,2.4269342,0,0,0.34,"{'NNP': 1, 'NN': 3}",118.18,1.6
252,Kes name te aa,0,4,14,False,False,af,nl,-4.187115,0,1,0,"{'NNP': 1, 'NN': 3}",118.18,1.6
253,Haje hor working krni zara fr hassan nu salgirah gift de tor te send kar daon ga. Odi pic send laaa ke,0,22,102,False,False,id,id,-285.20993,0,3,0.4404,"{'NNP': 2, 'NN': 15, 'VBG': 1, 'JJ': 3, 'IN': 1}",94.15,6.22
254,Haje thori working kr ke,0,5,24,False,False,af,en,-53.114674,0,0,0,"{'NNP': 1, 'VBD': 1, 'VBG': 1, 'NN': 2}",83.32,2
255,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
256,Kinni der ch ho,0,4,15,False,False,de,it,-26.349155,0,1,0,"{'NNP': 1, 'NN': 3}",92.8,1.6
257,In shaa Allah eid tu for an baad ya eid te,0,11,42,False,False,so,id,-125.76768,3,3,0,"{'IN': 2, 'JJ': 1, 'NNP': 1, 'NN': 6, 'DT': 1}",102.61,4.4
258,Ki hua,0,2,6,False,False,sw,en,9.06184,0,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
259,Hun meno idda di game lbni peni,0,7,31,False,False,it,it,-102.34677,0,1,0,"{'NNP': 1, 'NN': 5, 'JJ': 1}",89.75,2.8
260,Kyun ki hua,0,3,11,False,False,sw,fr,2.5340853,0,0,0,"{'NNP': 1, 'VBD': 1, 'NN': 1}",119.19,1.2
261,Kheln no Dil kr ria,0,5,19,False,False,sl,es,-15.630681,1,0,-0.296,"{'NNP': 2, 'DT': 1, 'VBZ': 1, 'NNS': 1}",117.16,2
262,Laptop te chal sakdi haje,0,5,25,False,False,et,it,-34.08041,0,0,0,"{'NNP': 1, 'NN': 4}",66.4,2
263,Aese lae oodo tk koi hor idda di lb Leni aa,0,11,43,False,False,so,it,-85.82808,0,3,0,"{'JJ': 1, 'NN': 9, 'NNP': 1}",94.15,4.4
264,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
265,Shaaam tak intezaar kr la,0,5,25,False,False,so,nl,-54.617428,0,3,0,"{'NNP': 1, 'NN': 4}",100.24,2
266,Mein tenu send kar daon ga,0,6,26,False,False,id,nn,-50.723015,0,0,0,"{'NNP': 1, 'VBD': 1, 'JJ': 1, 'NN': 3}",116.15,2.4
267,Nii koi nii jido complete ho jaye Ds dae,0,9,40,False,False,pt,pt,-106.785194,0,2,0,"{'NNP': 2, 'VBD': 1, 'JJ': 2, 'NN': 4}",96.18,3.6
268,https://www.instagram.com/reel/CuCgLalNz8y/?igshid=MTc4MmM1YmI2Ng==,1,1,67,True,False,Unknown,en,-11.306591,0,6,0,"{'NN': 3, ':': 1, '.': 1}",-555.59,80.4
269,Saee aa,0,2,7,False,False,so,nl,-6.145969,0,2,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
270,Not for you,0,3,11,False,False,en,en,3.676733,3,0,0,"{'RB': 1, 'IN': 1, 'PRP': 1}",119.19,1.2
271,,0,0,0,False,False,Unknown,en,9.06184,0,0,0,{},206.84,0
272,"Pta aa 
Me saeee aa aese lae kia",0,8,32,False,False,et,et,-71.93099,1,4,-0.6369,"{'NNP': 2, 'VBD': 1, 'JJ': 2, 'NN': 3}",114.12,3.2
273,It's for for but my heart lived person name hamna,0,10,49,False,False,en,en,-60.19119,5,0,0,"{'PRP': 1, 'VBZ': 1, 'IN': 2, 'CC': 1, 'PRP$': 1, 'NN': 4, 'VBD': 1}",95.17,4
274,Ja ja tur ja,0,4,12,False,False,fi,lv,-9.9121475,0,0,0,"{'NNP': 1, 'NN': 3}",118.18,1.6
275,Naaaal chalun gi,0,3,16,False,False,so,nl,-20.3746,0,3,0,"{'NNP': 1, 'NN': 2}",119.19,1.2
276,"Meno drame psnd nii
Drame aale dialogue bilkul v nhi 
Seedha seedha khi kl Eid Mubarak",0,16,86,False,False,et,sw,-178.45187,0,4,0,"{'NNP': 5, 'NN': 9, 'JJ': 2}",80.62,8.9
277,Same menu wi pasand nai,0,5,23,False,False,id,en,-7.7690773,1,0,0,"{'NNP': 2, 'NN': 3}",117.16,2
278,Pr haaaan tu pasand aaan,0,5,24,False,False,id,nl,-53.98954,0,5,0,"{'NNP': 1, 'NN': 4}",117.16,2
279,Meno v me bht psnd aa,0,6,21,False,False,nl,sl,-42.409683,1,1,0,"{'NNP': 1, 'FW': 1, 'PRP': 1, 'VBP': 1, 'JJ': 1, 'NN': 1}",116.15,2.4
280,Ki cheez,0,2,8,False,False,sw,it,2.0258117,0,1,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
281,Me khud,0,2,7,False,False,vi,en,0.69629097,1,0,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
282,Ok OK sorry,0,3,11,False,False,no,en,9.06184,0,1,0.5904,"{'NNP': 2, 'NN': 1}",93.81,1.2
283,Kes laae,0,2,8,False,False,et,et,-9.146299,0,1,0,"{'NNP': 1, 'NN': 1}",120.21,0.8
284,Odanhi,0,1,6,False,False,vi,pt,-0.03277111,0,0,0,{'NN': 1},36.62,0.4
285,Ach,0,1,3,False,False,en,en,9.06184,0,0,0,{'NN': 1},121.22,0.4
